Edge1,Edge2,Weight
argentina,australia,3
argentina,belgium,1
argentina,bulgaria,1
argentina,chile,8
argentina,czechia,1
argentina,ecuador,1
argentina,finland,2
argentina,france,5
argentina,germany,2
argentina,iaato,1
argentina,india,1
argentina,italy,1
argentina,japan,1
argentina,korea (rok),2
argentina,netherlands,1
argentina,new zealand,4
argentina,norway,5
argentina,peru,1
argentina,poland,1
argentina,scar,1
argentina,spain,4
argentina,sweden,1
argentina,ukraine,1
argentina,united kingdom,7
argentina,united states,4
argentina,uruguay,4
asoc,australia,3
asoc,belarus,1
asoc,belgium,3
asoc,brazil,2
asoc,bulgaria,2
asoc,chile,2
asoc,comnap,2
asoc,czechia,1
asoc,estonia,2
asoc,finland,2
asoc,france,3
asoc,germany,1
asoc,iaato,2
asoc,india,2
asoc,italy,2
asoc,korea (rok),2
asoc,malaysia,1
asoc,netherlands,1
asoc,norway,1
asoc,poland,2
asoc,portugal,2
asoc,romania,2
asoc,scar,3
asoc,spain,2
asoc,sweden,1
asoc,türkiye,2
asoc,united kingdom,3
asoc,united states,2
asoc,uruguay,2
asoc,venezuela,2
asoc,wmo,2
australia,belarus,1
australia,belgium,10
australia,brazil,2
australia,bulgaria,3
australia,chile,4
australia,china,4
australia,comnap,2
australia,czechia,2
australia,estonia,2
australia,finland,6
australia,france,9
australia,germany,9
australia,iaato,2
australia,india,5
australia,italy,5
australia,japan,2
australia,korea (rok),5
australia,malaysia,1
australia,monaco,1
australia,netherlands,7
australia,new zealand,16
australia,norway,15
australia,peru,1
australia,poland,3
australia,portugal,2
australia,romania,2
australia,russian federation,1
australia,scar,7
australia,south africa,1
australia,spain,7
australia,sweden,7
australia,türkiye,2
australia,ukraine,1
australia,united kingdom,19
australia,united states,15
australia,uruguay,4
australia,venezuela,2
australia,wmo,2
belarus,belgium,1
belarus,brazil,1
belarus,bulgaria,1
belarus,chile,1
belarus,comnap,1
belarus,czechia,1
belarus,estonia,1
belarus,france,1
belarus,iaato,1
belarus,india,1
belarus,italy,1
belarus,korea (rok),1
belarus,malaysia,1
belarus,poland,1
belarus,portugal,1
belarus,romania,1
belarus,scar,1
belarus,spain,1
belarus,türkiye,1
belarus,united kingdom,1
belarus,uruguay,1
belarus,venezuela,1
belarus,wmo,1
belgium,brazil,7
belgium,bulgaria,8
belgium,chile,8
belgium,china,1
belgium,comnap,3
belgium,czechia,3
belgium,estonia,2
belgium,finland,8
belgium,france,8
belgium,germany,7
belgium,iaato,3
belgium,india,6
belgium,italy,4
belgium,japan,4
belgium,korea (rok),4
belgium,malaysia,2
belgium,netherlands,8
belgium,new zealand,5
belgium,norway,8
belgium,peru,1
belgium,poland,5
belgium,portugal,7
belgium,romania,3
belgium,scar,6
belgium,south africa,2
belgium,spain,11
belgium,sweden,6
belgium,türkiye,5
