Edge1,Edge2,Weight
argentina,asoc,7
argentina,australia,18
argentina,belgium,3
argentina,brazil,2
argentina,bulgaria,1
argentina,chile,34
argentina,china,1
argentina,czechia,3
argentina,finland,3
argentina,france,12
argentina,germany,4
argentina,iaato,10
argentina,india,1
argentina,italy,4
argentina,japan,3
argentina,korea (rok),2
argentina,netherlands,5
argentina,new zealand,8
argentina,norway,25
argentina,peru,3
argentina,poland,2
argentina,russian federation,1
argentina,scar,2
argentina,south africa,2
argentina,spain,15
argentina,sweden,9
argentina,ukraine,3
argentina,united kingdom,39
argentina,united states,27
argentina,uruguay,4
asoc,australia,3
asoc,belgium,2
asoc,brazil,1
asoc,bulgaria,1
asoc,chile,4
asoc,comnap,1
asoc,estonia,1
asoc,finland,2
asoc,france,2
asoc,germany,1
asoc,iaato,8
asoc,india,1
asoc,italy,1
asoc,korea (rok),1
asoc,netherlands,1
asoc,norway,5
asoc,poland,1
asoc,portugal,1
asoc,romania,1
asoc,scar,2
asoc,spain,4
asoc,sweden,2
asoc,türkiye,1
asoc,united kingdom,9
asoc,united states,6
asoc,uruguay,1
asoc,venezuela,1
asoc,wmo,1
australia,belgium,16
australia,brazil,1
australia,bulgaria,2
australia,chile,7
australia,china,14
australia,comnap,1
australia,czechia,4
australia,estonia,1
australia,finland,8
australia,france,21
australia,germany,16
australia,iaato,2
australia,india,8
australia,italy,6
australia,japan,9
australia,korea (rok),5
australia,monaco,1
australia,netherlands,14
australia,new zealand,42
australia,norway,35
australia,peru,3
australia,poland,3
australia,portugal,1
australia,romania,3
australia,russian federation,8
australia,scar,17
australia,south africa,4
australia,spain,14
australia,sweden,12
australia,türkiye,1
australia,ukraine,1
australia,united kingdom,47
australia,united states,36
australia,uruguay,5
australia,venezuela,1
australia,wmo,1
belgium,brazil,11
belgium,bulgaria,14
belgium,chile,16
belgium,china,2
belgium,comnap,2
belgium,czechia,4
belgium,estonia,1
belgium,finland,13
belgium,france,19
belgium,germany,16
belgium,iaato,2
belgium,india,5
belgium,italy,8
belgium,japan,5
belgium,korea (rok),4
belgium,malaysia,1
belgium,monaco,1
belgium,netherlands,18
belgium,new zealand,12
belgium,norway,15
belgium,peru,1
belgium,poland,5
belgium,portugal,11
belgium,romania,2
belgium,russian federation,1
belgium,scar,11
belgium,south africa,7
belgium,spain,15
belgium,sweden,13
belgium,türkiye,4
belgium,ukraine,1
belgium,united kingdom,25
belgium,united states,12
belgium,uruguay,4
belgium,venezuela,1
belgium,wmo,1
brazil,bulgaria,11
brazil,chile,10
brazil,china,1
brazil,comnap,2
brazil,czechia,1
brazil,ecuador,3
brazil,estonia,1
brazil,finland,3
brazil,france,2
brazil,germany,2
brazil,iaato,2
brazil,india,2
brazil,italy,3
brazil,korea (rok),3
brazil,malaysia,1
brazil,netherlands,1
brazil,new zealand,1
brazil,peru,5
brazil,poland,7
brazil,portugal,10
brazil,romania,2
brazil,russian federation,1
brazil,scar,2
brazil,south africa,1
brazil,spain,7
brazil,sweden,1
brazil,türkiye,1
brazil,united kingdom,10
brazil,united states,5
brazil,uruguay,2
brazil,venezuela,1
brazil,wmo,1
bulgaria,chile,11
bulgaria,comnap,2
bulgaria,czechia,2
bulgaria,estonia,1
bulgaria,finland,5
bulgaria,france,4
bulgaria,germany,3
bulgaria,iaato,2
bulgaria,india,3
bulgaria,italy,4
bulgaria,japan,1
bulgaria,korea (rok),3
bulgaria,malaysia,1
